DATA;Inflação - IPC-FESO - (número índice);Inflação - IPC/alimentos-FESO - (número índice);Inflação - IPC/bebidas-FESO - (número índice);Inflação - IPC/CB-FESO - (R$);Inflação - IPC/CB-FESO - (número índice);Arroz Branco Tipo 1 - 5 KG (R$);Feijão Preto - 1 KG (R$);Feijão Carioquinha - 1 KG (R$);Batata lavada - KG (R$);Banana Prata - KG (R$);Tomate - KG (R$);Farinha de Mandioca - 1 KG (R$);Farinha de Trigo - 1 KG (R$);Fubá - 1 KG (R$);Massa Padre Nosso - 500 GR (R$);Macarrão Instântaneo - UNIDADE (R$);Espagueti - 500 GR (R$);Pão de Forma - PACOTE (R$);Pão Bisnaga - PACOTE (R$);Biscoito Salgado - PACOTE (R$);Biscoito Recheado - PACOTE (R$);Leite - UNIDADE (R$);Leite Condensado - LATA (R$);Queijo Mussarela - KG (R$);Queijo Ralado - PCT 100 GR (R$);Manteiga - 200 GR (R$);Iogurte - BANDEJA (R$);Açúcar Refinado - 1 KG (R$);Açúcar Cristal - 1 KG (R$);Pêssego em Calda - 450 GRAMAS (R$);Goiabada - pote (R$);Geléia de Mocotó - CX (R$);Achocolatado - 400 GR (R$);Chã de Dentro - KG (R$);Lingüiça Calabresa - KG (R$);Lingüiça Mista - KG (R$);Presunto - KG (R$);Mortadela - KG (R$);Frango Inteiro - KG (R$);Peito de Frango - KG (R$);Ovos Grandes Brancos - DÚZIA (R$);Sal - 1 KG (R$);Alho - KG (R$);Cebola - KG (R$);Caldo de Galinha - 126 gr. (R$);Maionese - vidro 250 GR (R$);Extrato de Tomate - lata 340 gr (R$);Pura Polpa - CAIXA 520 gr (R$);Molho Shoyu - VIDRO PEQ. (150 ml) (R$);Milho Verde - LATA (R$);Salsicha - LATA (R$);Refrigerante de Cola - 2 LITROS (R$);Refrigerante de Guaraná - 2 LITROS (R$);Refrigerante de Laranja - 2 LITROS (R$);Suco de Caju - 500 ML (R$);Xarope de Guaraná - 1 LITRO (R$);Chá Mate - CX 100G (R$);Café - 500 GR (R$);Café - 500 GR (R$);Cerveja Clara - CAIXA C/12 (R$);Vinho Tinto - 750 ML (R$);Óleo de Soja - PET 900 ml (R$);Azeite - LATA (R$);Margarina Vegetal - 250 GR (R$);Sabão Tablete - PCT. C/ 5 UNID. (R$);Sabão em Pó - CX 500G (R$);Amaciante de Roupa - 2 LITROS (R$);Detergente Líquido (Neutro) - UNIDADE (R$);Desinfetante Multi Uso -  500 ML (R$);Esponja de Aço - PACOTE (R$);Shampoo - 350 ML (R$);Condicionador - VD (GRANDE) (R$);Sabonete - UNIDADE (R$);Desodorante - Roll On 50 g (R$);Papel Higiênico - PCT. C/ 4 UNID. (R$);Creme Dental - 90 GR (R$);Pão Francês - 1 Kg (R$)
10/2015;174,8528947;178,7676242;180,2300784;332,0450476;165,2236087;17,55961039;8,126909091;6,798181818;6,962727273;4,125714286;6,575454545;2,278441558;3,200681818;1,670795455;2,99;6,952272727;2,716818182;5,935454545;10,93012987;6,341818182;7,745909091;24,42545455;4,083454545;10,19493506;9,16;5,415324675;3,51961039;14,27454545;4,369090909;6,825227273;2,89;7,665;5,559090909;42,40654545;11,88636364;11,71969697;9,631666667;2,598522727;25,7887013;9,839659091;4,388181818;1,546883117;4,676461039;0,523693182;4,791428571;9,283409091;11,54;14,75545455;9,06;3,444545455;3,069545455;17,02285714;10,75142857;5,209545455;4,28;5,757532468;4,035;5,61;9,366818182;24,12409091;22,47787879;18,48727273;14,262;6,990909091;11,70857143;5,354772727;6,626363636;3,375909091;3,482207792;1,695681818;6,620340909;5,715454545;9,149318182;7,628787879;13,45363636;6,377727273;8,783896104
11/2015;176,8994018;181,9714479;182,7570263;362,0722202;180,1649482;16,705;8,737272727;5,266363636;10,8338961;5,745194805;7,946493506;2,711818182;3,247142857;1,753636364;2,535454545;6,592857143;3,665909091;5,553116883;10,75038961;6,485454545;7,571168831;30,24;4,153636364;11,56623377;7,47;5,168409091;3,754545455;17,4;3,72;6,964727273;5,433333333;8,147272727;6,071818182;43,32545455;11,20018182;11,75954545;8,866;2,739318182;19,17;8,725324675;4,786363636;1,645454545;5,068181818;1,069318182;4,515454545;10,10987013;11,81181818;14,84090909;7;3,714545455;3,010681818;17,22;11,10181818;5,182727273;3,356666667;6,162727273;4,276818182;6,45;8,834805195;24,57818182;22,99454545;15,40727273;14,06363636;5,345454545;14,18666667;5,765454545;7,165;3,507272727;3,408181818;1,78;6,231454545;6,179090909;9,157272727;7,946060606;11,92363636;7,68;9,045454545
12/2015;188,2239791;193,4298585;186,1010695;400,2522727;199,1631116;18,65;7,34969697;5,434545455;14,24090909;5,772727273;12,79;3,344545455;3,29;1,956666667;3,126363636;7,465151515;3,909090909;5,068181818;10,48787879;6,512121212;7,384848485;34,92;4,238484848;11,16924242;8,59;5,612727273;3,444545455;17,48181818;5,54;7,229393939;7,976666667;9,373939394;8,586363636;45,59212121;9,55;10,47272727;9,946666667;2,5725;20,07;7,595454545;4,368181818;1,986363636;5,553181818;1,314772727;5,78;10,69515152;12,35181818;13,00757576;7,439393939;3,207272727;3,830909091;18,17;11,31333333;5,73;3,280909091;6,171818182;4,19;6,45;8,716666667;24,70121212;23,45;11,67272727;13,49;6,792121212;17;14,20454545;8,727272727;3,567878788;4,362727273;1,793030303;6,617272727;4,665757576;9,093636364;7,671818182;15,96818182;7,224545455;9,035454545
01/2016;189,0998203;197,7407919;182,9656973;409,304078;203,6672352;18,45181818;9,984545455;6,922272727;10,15207792;9,099545455;13,60909091;3,492727273;3,161477273;1,857840909;3,264545455;6,802272727;4,246363636;5,928441558;11,32025974;6,612323232;7,414545455;29,18909091;4,062467532;11,21863636;9,44;5,543409091;3,330909091;18,63136364;5,54;7,376818182;10,52;8,587792208;6,958181818;44,51454545;10,73181818;11,73363636;10,63969697;2,833214286;21,14836364;9,960909091;5,406363636;1,682467532;4,591136364;1,101818182;5,146363636;10,28227273;11,94155844;13,89805195;8,385714286;3,698701299;3,954545455;17,97954545;11,64454545;5,567272727;3,636363636;6,139318182;3,924545455;5,61;8,156477273;23,77;23,856;12,91353535;13,65666667;7,658181818;15,98;9,26961039;11,73563636;3,316590909;3,948909091;1,727662338;6,521363636;6,513272727;9,288181818;7,929204545;11,18563636;6,917045455;8,944545455
02/2016;190,1629405;198,5557554;181,3293181;403,4531833;200,7558653;18,23545455;10,40545455;6,886666667;11,13;9,698181818;9,398701299;3,709480519;3,366666667;2,27987013;3,608181818;6,45;2,605151515;6,35;12,18666667;6,7;7,852272727;33,06;4,124848485;11,57530303;9,413333333;5,862987013;3,089393939;20,10701299;5,830909091;7,493636364;3,36;8,364415584;5,935454545;44,87;13,20454545;11,71363636;9,644166667;3,395625;20,11909091;9,006363636;5,17961039;1,515151515;5,865530303;1,171363636;5,048181818;9,809545455;12,34272727;15,08636364;10,33333333;3,976;4,21;17,31545455;10,61636364;5,012337662;3,935;6,329393939;3,991818182;5,61;8,254935065;24,93575758;23,29666667;16,75393939;15,12666667;7,711363636;14,8;11,15909091;6,86969697;3,208571429;3,62030303;1,801688312;6,891818182;6,378333333;9,05;8,838571429;11,79545455;7,521136364;9,105151515
03/2016;195,2319365;203,1873102;192,4032226;418,1184805;208,0532286;18,68772727;10,24909091;5,761818182;10,72454545;9,245454545;8,805909091;4,085909091;3,573333333;2,388636364;3,217272727;7,294155844;3,499090909;5,934318182;11,70727273;6,492727273;7,708080808;35,88;4,371818182;11,84902597;8,637142857;5,931558442;3,117272727;19,87977273;5,687272727;8,510727273;3,326363636;7,787272727;6,359090909;49,45575758;12,69136364;11,71477273;9,355;3,465681818;20,95909091;9,821363636;5,183636364;1,595681818;6,104090909;1,164772727;4,707272727;10,32181818;11,93181818;15,80272727;12,82242424;3,484545455;3,208;19,15;11,55454545;5,317613636;4,655454545;6,448181818;4,063636364;7,29;10,20909091;22,35409091;24,93;16,72090909;7,445;5,81030303;22,52;6,264545455;8,125;3,363636364;3,833636364;1,756666667;6,844772727;5,807272727;10,41011364;8,666883117;17,22545455;7,862727273;9,387727273
04/2016;194,5930185;203,441938;183,8660938;414,5753409;206,2901837;18,95681818;10,22181818;6,428181818;15,07;10,13584416;8,045454545;4,576590909;3,479090909;2,38038961;4,180909091;7,068181818;2,783636364;5,967142857;11,63818182;6,587272727;7,74;38,28;4,253636364;11,65279221;7,860952381;6,711363636;3,637792208;20,43204545;5,474545455;8,645454545;3,325;8,651818182;6,714935065;42,95727273;10,61454545;12,18522727;9,581111111;3,862272727;20,24727273;8,180681818;4,845113636;1,613636364;6,236590909;1,092954545;4,296363636;9,382727273;11,46545455;16,24090909;12,855;3,731168831;3,971818182;17,51727273;11,50545455;5,219431818;4,51;6,357272727;3,482207792;7,374;10,03376623;22,17818182;23,05666667;16,59272727;17,9;6,126909091;16,54;6,000681818;8,7775;3,759220779;4,859090909;1,802121212;6,793636364;6,62;10,04181818;8,823068182;11,74090909;8,384415584;9,617272727
05/2016;200,326013;212,7527655;190,4717803;410,618886;204,3214757;18,25;10,03;8,9;16,87454545;9,145909091;6,348181818;4,620909091;3,61;2,621168831;2,971666667;7,529545455;3,121818182;5,910779221;12,02;6,518181818;7,468181818;43,98;4,224545455;12,74727273;7,084761905;7,165584416;3,413333333;20,24909091;5,02;8,697272727;3,326363636;8,727272727;6,776363636;44,02155844;12,65333333;13,61;9,508333333;3,989545455;21,30068182;8,404772727;4,785227273;1,57;5,720616883;1,546742424;4,373939394;10,35194805;11,90863636;22,375;11,90727273;4,166666667;3,52;17,9;11,4761039;5,143939394;5,29;6,524545455;4,055454545;7,458;10,82155844;21,45;24,93;15,80242424;17,9;6,098181818;17,88666667;5,922;7,664848485;3,988571429;4,308181818;1,919090909;6,655909091;6,700909091;10,41833333;8,715;8,25;8,877272727;8,978636364
06/2016;203,775627;217,070343;192,3778269;435,0673203;216,4868688;20,60227273;14,68909091;10,58;19,69909091;7,398181818;9,668311688;4,285974026;3,637575758;2,656103896;3,540909091;6,753030303;2,722727273;5,755909091;11,55922078;6,804545455;7,9775;46,98;4,444545455;13,70324675;6,308571429;7,829393939;3,353636364;20,17012987;5,46;8,697272727;2,99;8,272727273;7,11;43,20666667;11,96833333;12,52090909;9,119;4,058766234;20,35051948;9,438863636;5,147727273;1,783333333;6,506534091;0,753019481;4,383116883;9,51038961;11,81318182;19,04848485;11,13151515;3,807272727;3,143939394;19,22454545;10,99298701;4,911948052;4,55;6,585454545;4,153636364;7,542;9,066363636;24,69636364;24,4869697;16,09506494;10,32636364;5,889090909;15,84666667;5,81;8,391363636;4,053181818;3,780909091;1,93025974;7,514242424;6,647402597;9,777727273;8,795681818;18,24;9,672272727;9,061428571
07/2016;206,2221511;222,1176845;191,0255232;431,1963799;214,5607123;20,99772727;17,33045455;11,66545455;12,27;9,231818182;7,392467532;4,796753247;3,373636364;2,646363636;2,882727273;7,317532468;3,595454545;5,845844156;12,01636364;6,910909091;7,774545455;53,88;5,219090909;17,01431818;5,532380952;8,270909091;2,858181818;20,95090909;6,045454545;9,755454545;3,15;8,373506494;6,441688312;41,1161039;13,08090909;13,16818182;9,319545455;3,660227273;18,29727273;8,42974026;5,288441558;1,642727273;6,874220779;0,561396104;5,839393939;7,98;11,86441558;22,38181818;12,28636364;3,61;3,003636364;17,93863636;9,894545455;5,475844156;4,79;7,075454545;3,747575758;7,626;10,5987013;23,66181818;24,72181818;15,60155844;13,51636364;6,296363636;16,64;5,861090909;8,713636364;3,861818182;4,425454545;1,863116883;6,894545455;6,637272727;9,819090909;8,992597403;13,42363636;8,670779221;9,762727273
08/2016;203,3823031;217,7760741;187,8334409;432,5126061;215,2156585;22,96727273;15,95090909;12,75090909;13,13493506;9,607792208;8,158636364;4,649090909;3,602727273;2,525064935;3,008181818;6,931818182;3,519090909;5,902272727;11,79636364;6,885454545;7,684545455;39,816;6,426363636;16,46;4,756190476;8,27025974;3,051038961;21,03818182;6,42;9,185454545;3,15;8,021818182;6,673636364;43,14227273;11,94757576;13,51636364;9,91512987;3,734886364;18,76636364;8,747662338;5,305681818;1,691818182;5,622301136;0,513181818;5,390909091;7,843636364;12,05113636;20,2;16,23;3,31;3,092;17,56090909;10,15840909;5,377272727;5,74;7,018181818;4,396060606;7,71;10,75931818;23,85818182;22,36272727;14,56436364;17,06272727;6,648571429;13,50666667;5,854;8,326363636;4,050681818;4,643766234;1,759772727;7,30025974;6,505272727;9,73;8,637272727;15,01977273;8,770909091;9,643409091
09/2016;203,6116698;213,6341841;208,4842856;416,4386742;207,2173671;22,44863636;15,08909091;13,83636364;9,324545455;7,929818182;8,227636364;4,170727273;3,519272727;2,374090909;4,522727273;7,404545455;3,411818182;6,017272727;12,04727273;7,063636364;7,681818182;34,28;6,249090909;15,90295455;3,98;8,322272727;3,226363636;20,73709091;8,309090909;9,796818182;3,29;8,168727273;7,076363636;44,29018182;12,408;14,805;9,270757576;3,917545455;20,91818182;9,545;5,122363636;1,828181818;5,17375;0,533068182;5,790909091;9,674545455;11,94872727;15,73409091;12,20218182;3,550909091;3,997272727;19,85181818;10,90090909;6,211818182;5,156666667;6,981363636;4,176363636;8,99;10,80969697;24,47672727;28,80818182;24,97818182;16,60818182;7,475454545;3,74;6,0575;7,933636364;3,853636364;4,258181818;1,700454545;7,390227273;7,545454545;10,08636364;7,983090909;7,985454545;12,114;9,559545455
10/2016;203,0491687;210,605706;199,944009;432,4299848;215,1745466;21,15181818;15,39818182;14,92181818;9,515454545;7,816623377;8,811818182;4,945324675;3,636477273;2,361363636;4,21;7,840909091;3,133636364;5,850681818;12,2225974;6,895909091;7,58987013;33,48;6,043766234;13,96149351;5,48;8,107090909;3,357954545;21,31168831;5,963636364;8,678181818;3,29;7,70025974;6,943246753;49,32818182;11,99571429;13,47272727;9,235;3,781785714;21,76977273;8,518831169;4,753863636;1,611298701;5,208125;0,437662338;4,580909091;9,974025974;11,8274026;11,44090909;16,64666667;3,765974026;2,973636364;19,41;10,83480519;6,142363636;4,573333333;7,012077922;4,008;8,99;10,47022727;24,47220779;24,90212121;15,23272727;16,10818182;6,910909091;17,48;5,78;8,245909091;3,943636364;4,458727273;1,749350649;7,231363636;7,213636364;10,12295455;8,362840909;17,82818182;8,482207792;9,685227273
11/2016;202,1158821;209,2640899;210,3784048;420,7403485;209,3578542;22,79090909;14,86545455;12,61636364;6,958636364;9,18;7,489090909;5,451818182;3,624242424;2,441818182;3,971818182;7,101515152;3,468181818;5,483939394;11,31939394;6,81030303;7,663636364;32,88;6,026363636;13,41590909;6,98;8,119090909;3,750606061;21,89454545;6,856363636;9,021818182;3,653636364;8,881818182;7,126363636;47,31090909;13,09545455;12,925;10,033;4,276363636;22,03454545;8,39;4,543939394;1,595454545;5,694772727;0,666439394;5,307272727;8,536363636;12,83;14,06363636;12,45878788;4,032;3,2;19,26090909;10,94363636;6,57;3,99;7,099090909;4,805;9,49;11,35818182;24,29818182;28,72636364;15,36363636;15,79363636;6,916363636;8,6;5,913636364;7,893333333;3,961818182;4,386969697;1,732727273;6,306363636;7,656666667;11,51181818;8,946060606;17,60454545;9,646363636;9,300909091
12/2016;198,8144453;201,3109669;203,3785896;412,7837485;205,3986982;21,90327273;14,99454545;9,172727273;6,979090909;10,73272727;6,012727273;5,143272727;3,510727273;2,462727273;4,213636364;7,039090909;3,69;6,155909091;11,97636364;7,076;7,66;31,08;5,908181818;11,34272727;8,48;8,065272727;3,563181818;22,51090909;6,42;8,284545455;3,735454545;8,303636364;6,91;43,38;12,71666667;12,99;10,13363636;3,763522727;23,06454545;7,659090909;5,895454545;1,827272727;4,097272727;0,588136364;4,668181818;10,09227273;12,41181818;10,72272727;10,31954545;4,113818182;3,509090909;17,97;10,36690909;5,59;4,580909091;7,426363636;4,468181818;9,49;11,51490909;22,57090909;26,99;17,78545455;15,47909091;7,652727273;18,78;7,352545455;8,148181818;3,832363636;4,529090909;1,633636364;7,406363636;6,873636364;10,74659091;8,794545455;13,95545455;8,615454545;10,048
01/2017;203,0346213;207,1871394;229,1542636;408,6831642;203,3582722;21,77614583;12,63133333;11,3675;5,0125;9,996190476;5,602916667;5,433958333;3,527916667;2,303541667;3,928095238;7,057142857;3,381666667;6,073333333;11,95714286;7,52047619;8,456666667;30,455;6,270208333;11,95536458;9,98;8,166041667;3,849166667;21,73285714;6,42;9,00875;3,606666667;8,675238095;6,638645833;47,62166667;12,96041667;12,56866667;10,48486111;3,96025;22,27125;9,795416667;5,417;1,705238095;4,705052083;0,578958333;5,68;8,895555556;12,08642857;11,69166667;8,505;3,740416667;3,805555556;18,585;11,06791667;5,668809524;4,693333333;7,285833333;4,201666667;9,49;11,228125;24,48595238;28,9;19,04266667;15,16454545;6,673809524;10,24;5,847333333;6,771666667;3,796666667;4,466;1,712619048;6,837916667;6,94;10,55333333;8,647857143;13,04875;9,043571429;9,6659375
02/2017;203,1551885;203,3270261;238,1864158;393,0057282;195,5572748;21,92614583;11,76333333;7,963333333;6,36;8,834583333;5,72875;6,393125;3,308020833;1,9625;4,429166667;7,2625;3,050416667;5,781041667;12,18952381;7,557619048;8,082916667;37,562;6,5766875;10,44208333;9,22;8,221333333;4,484166667;21,24428571;5,98;8,444166667;3,49;8,97952381;6,79625;41,95333333;13,65291667;13,62166667;9,460297619;4,100982143;19,1075;9,03375;5,2265625;1,755625;4,218333333;0,565260417;5,046666667;9,139333333;11,82928571;13,02291667;8,913333333;3,801190476;3,770555556;19,3425;11,70714286;6,037916667;4,605833333;7,431666667;4,26625;9,49;11,51416667;24,03125;31,75666667;20,22666667;14,85;6,967083333;10,7675;5,89875;7,068333333;3,80952381;4,085666667;1,681666667;7,210238095;6,831666667;10,47666667;8,9490625;15;8,685625;9,453095238
03/2017;199,7192632;205,7083331;228,0828168;407,4855794;202,7623613;22,40791667;10,35916667;7,346666667;5,749642857;9,026428571;8,356666667;6,12625;3,456666667;2,231309524;3,468166667;7,170833333;3,34;6,0275;12,3347619;7,778333333;8,161666667;33,41333333;6,485833333;11,11940476;8,38;8,456111111;4,331333333;20,21142857;5,356666667;9,473333333;3,89;9,401111111;6,981666667;44,79190476;14,53333333;13,945;9,798888889;4,187529762;19,8865;9,008809524;5,622291667;1,74;5,241815476;0,590520833;5,053333333;9,061333333;11,57416667;15,62916667;8,776111111;3,564166667;3,468333333;19,625;11,23416667;6,198333333;4,535;7,311666667;4,695;9,49;12,37510417;23,40944444;26,19;17,85166667;12,95;6,428333333;8,72;6,145;6,95;3,969583333;4,326547619;1,783125;7,362857143;7,294166667;10,20395833;8,97;9,2275;8,79;9,362619048
04/2017;201,301853;205,24719;240,2668198;394,1653337;196,1342875;21,49333333;10,12666667;9,946666667;6,6475;8,653809524;7,499047619;5,871190476;3,00952381;2,03;3,248611111;7,130952381;3,056666667;6,056666667;12,40380952;7,68;8,351428571;38,28;5,528095238;11,36309524;8,363333333;8,63875;4,799166667;18,49;5,3;8,758333333;3,853333333;8,781666667;6,885;41,37333333;13,84208333;13,97333333;9,817916667;3,8209375;20,50375;8,897857143;5,365238095;1,770714286;6,170595238;0,66625;5,538333333;8,763333333;12,462;16,01083333;5,1;3,614166667;3,430416667;18,69;11,78166667;5,676904762;4,47;7,173333333;4,203333333;9,49;11,26233333;26,3;32,19;15,82083333;14,85;6,48;11,73375;6,188333333;7,134333333;4,087;4,0885;1,732261905;7,317166667;6,535166667;10,1325;8,893666667;7,68;8,33;9,533095238
05/2017;207,2586449;205,6692752;244,9806417;401,5860288;199,8267805;20,62297619;9,466666667;7,905;8,0825;7,684375;8,650416667;5,72125;3,14797619;1,79375;3,171;7,105208333;3,015;6,057142857;12,66095238;7,495416667;8,377916667;37,18;5,406666667;12,21125;8,346666667;8,805;4,795;18,72125;5,727777778;9,026944444;4,215;8,696666667;6,704285714;42,99966667;13,57888889;13,955;9,661071429;3,908125;19,527;8,964166667;5,692083333;1,753333333;5,183645833;0,59125;5,635;9,755833333;12,46214286;15,496875;7,1;3,694444444;3,4725;18,55;11,5047619;6,104583333;4,474583333;7,235833333;4,462222222;9,49;12,2025;28,38166667;31,22;15,95666667;14,85;6,141111111;16,24666667;6,155833333;7,084833333;3,93;4,079583333;1,798020833;8,857916667;7,013166667;10,65333333;9,093571429;16,985;8,655;9,512604167
06/2017;207,2181199;205,4160049;241,7890706;380,3090278;189,2394734;19,38;10,85190476;13,51;5,095;6,53;6,088333333;5,751309524;3,020714286;1,810416667;3,551;7,238095238;3,115;6,052916667;12,67166667;7,385;8,43;37,11;5,45875;12,22041667;8,33;8,716666667;3,808472222;19,03375;5,843333333;9,177083333;3,8825;8,911190476;6,90547619;42,62833333;12,833125;15,52666667;9,644895833;3,8965625;20,55821429;8,472291667;5,5296875;1,9075;5,368411458;0,5571875;5,607142857;9,187333333;12,1903125;17,38630952;5,66;3,342666667;3,508333333;19,055;11,37;6,14;4,623333333;7,373333333;4,639166667;9,49;11,95947917;26,5125;30,84611111;15,40333333;15,2;6,913333333;22,75333333;6,292333333;7,042;3,88952381;4,231666667;1,805416667;7,850238095;7,219166667;10,35270833;9,286547619;13,305;8,31625;9,636875
07/2017;203,2969089;199,9485736;243,951568;386,6496127;192,3945102;20,10283333;11,48;10,35916667;4,036666667;5,94875;8,79875;5,647916667;2,702738095;1,997222222;3,034444444;7,283333333;3,248333333;6,119761905;13,06888889;7,13;7,946666667;30,96;5,342380952;12,34738095;8,313333333;9,348333333;3,357916667;18,70333333;5,748;9,129722222;3,757916667;9,419166667;6,315;42,42;13,6085;15,14;9,359833333;3,792152778;18,95571429;7,848333333;5,43047619;1,758888889;5,387083333;0,638869048;5,521666667;9,398333333;12,31333333;17,46111111;4,78;3,252;3,631666667;19,5855;11,24666667;6,223125;4,645;7,251111111;5,751333333;9,49;12,18321429;24,83;31,89875;15,55166667;15,55;6,433333333;12,76666667;6,252083333;6,931666667;4,006190476;4,02452381;1,863958333;7,960238095;7,735;10,85291667;9,409285714;19,65;8,7225;9,495208333
08/2017;195,9368035;194,8988573;237,8609254;369,276003;183,749507;19,95277778;10,40291667;8,13;4,93;5,89;5,310208333;5,486666667;2,775833333;1,98;3,2;7,329166667;2,878333333;6,103541667;12,5752381;7,169047619;7,97;29,76;5,330625;11,67140625;8,296666667;9,149285714;3,54;17,76625;5,552222222;8,7875;3,925833333;9,851111111;6,506041667;42,26333333;13,26083333;16,065;9,197666667;3,474791667;19,19083333;8,785625;5,5690625;1,646428571;4,395416667;0,535684524;4,418571429;9,85;12,95625;14,85277778;5,74;3,462380952;3,9875;19,48464286;11,73625;5,889814815;4,27;7,05;4,737222222;9,49;12,52964286;23,72854167;28,917;14,7725;15,9;6,844166667;10,23833333;6,685833333;6,782916667;3,822380952;4,465;1,665;7,694791667;7,636666667;11,9;9,426071429;11,3425;8,8975;9,785119048
09/2017;195,3539196;190,0472735;240,936571;358,5613611;178,417966;20,21708333;9,773333333;6,310833333;4,97;5,59;6,0525;5,3775;2,703333333;1,722916667;3,706666667;7,275;3,008333333;5,878166667;12,06888889;6,47047619;7,828095238;28,68;5,284;11,073125;8,28;9,475;4,153888889;16,715;5,33;10,585;3,932666667;8,772777778;6,422916667;38,10033333;11,93458333;12,30833333;10,48291667;3,387083333;19,90333333;9,852333333;5,584583333;1,771666667;3,081875;0,61125;4,866666667;9,635;12,70535714;17,82708333;5,3;3,293333333;3,611333333;17,67;12,28933333;6,2725;4,344444444;6,94875;5,111666667;9,49;12,04708333;26,43666667;25,93525;14,84333333;16,25;6,131666667;16,83555556;6,56;7,196833333;3,790666667;3,898333333;1,965;8,41375;7,823333333;12,27833333;8,92125;8,915;9,145;10,06333333
10/2017;197,8731636;196,9243999;227,862682;388,8497639;193,4892921;19,70416667;10,19833333;6,38;6,7825;6,322222222;7,563333333;5,57;2,701666667;2,11625;3,666666667;7,408333333;2,373333333;5,476666667;13,12444444;7,113333333;7,938571429;28,68;5,975;11,736875;8,263333333;9,6075;4,673333333;16,94;4,78;10,99;3,9395;10,36722222;6,861666667;42,78583333;11,2075;13,95;10,31694444;4,135416667;19,59333333;10,06;5,058333333;1,748333333;3,317291667;0,551041667;4,53;11,524;13,4175;15,05833333;5,3;3,39;4,250555556;19,21;13,45;6,020833333;4,023333333;6,815;4,914791667;4,75;10,49708333;25,47;22,9535;14,52666667;16,49;7,151904762;10,07666667;8,216666667;7,414583333;3,861666667;3,929166667;1,115;7,6735;7,678166667;11,74;8,29375;15,46166667;8,701428571;10,54541667
11/2017;196,0389457;193,4069249;223,3360968;369,5043859;183,863149;20,019375;9,313333333;7,557777778;7,96;5,691875;5,744166667;5,913333333;2,774166667;1,902708333;4,436666667;7,142708333;2,584444444;5,955;12,67380952;6,506666667;7,38;31,005;5,424791667;11,08285714;8,246666667;9,134285714;4,336;15,69714286;4,9;8,885833333;3,946333333;8,47875;6,471666667;41,47619048;13,0225;13,95;9,996666667;4,161276042;18,93666667;8,034583333;4,6625;1,739761905;3,048482143;0,539270833;4,578095238;9,5075;13,388125;18,98333333;6,01;3,566666667;3,433333333;17,44857143;12,24857143;5,452142857;4,323333333;7,118333333;4,964666667;5,95;10,28520833;25,47;19,97175;14,16952381;16,06111111;6,477142857;14,54083333;6,240555556;7,535833333;3,641666667;3,938928571;1,806666667;7,208958333;7,962666667;11,081875;9,091458333;16,25333333;9,3078125;9,847083333
12/2017;191,5494376;191,5218487;199,090061;389,733625;193,9290961;19,71416667;9,643333333;7,38;9,395;6,235555556;7,64;5,844166667;2,619166667;1,886666667;4,242777778;6,9125;2,665;5,794166667;12,305;6,488333333;7,288333333;27,26;5,165;11,2375;8,23;9,315833333;4,49;15,395;4,9;8,769166667;3,953166667;6,765833333;6,3775;44,33;10,98458333;10,13666667;9,4725;3,5834375;22,02;9,755555556;4,8075;1,781666667;3,123541667;0,540416667;4,338333333;8,856666667;13,385;16,70625;5,3;2,984444444;3,181111111;16,845;11,73166667;6,109444444;3,878333333;7,098333333;4,94625;7,46;10,25583333;25,82;16,99;15,36;15,63222222;5,565;17,835;5,120833333;7,173333333;4,041111111;4,006666667;1,723333333;7,381666667;8,031666667;10,05083333;8,87;17,94;8,195;9,674166667
01/2018;194,0703056;193,8289713;207,345834;409,5028889;203,7661623;19,65;9,45;7,913333333;7,4325;7,768888889;13,54666667;5,973333333;2,423333333;1,875;3,356666667;7,158333333;3,386666667;5,981666667;12,84666667;6,896666667;7,446666667;29,28;4,848333333;11,06708333;8,213333333;9,153333333;4,99;15,9;4,9;7,106666667;3,96;7,7;6,815;39,23;12,88916667;12,0725;8,4575;3,270416667;19,26166667;8,84;4,565;1,886666667;2,619375;0,717083333;4,063333333;9,251666667;13,55;17,57083333;5,3;3,193333333;4,2125;18,70166667;12,08;6,036666667;3,99;7,075833333;4,854166667;8,97;11,345;27,04666667;21,09027778;14,82666667;15,20333333;6,706666667;15,98;6,266666667;7,16;3,826666667;5,153333333;1,7375;7,675;7,702083333;9,975;8,235833333;13,02;8,92;10,28958333
02/2018;194,7173141;193,4130531;197,8033115;391,8373638;194,9759037;19,65;9,506666667;6,795;6,42;6,04;9,875833333;5,954285714;2,648333333;2,008095238;3,056666667;7,164285714;2,780555556;5,328888889;12,59904762;6,868888889;7,98;31,14;4,979583333;10,47833333;8,196666667;9,456666667;3,820555556;16,93428571;5,113333333;7,165;2,743333333;8,34;6,333333333;42,46333333;12,41833333;14,59222222;9,10125;3,937777778;18,87714286;7,895555556;5,550555556;1,7575;2,79125;0,9725;4,921666667;8,747777778;13,6225;17,7;5,58;3,468;3,341666667;18,27357143;12,10047619;5,767619048;3,79;7,209444444;4,912916667;10,48;11,24125;23,64071429;25,19055556;14,44888889;17,68722222;6,232;15,18;8,59;7,515833333;3,641904762;4,316666667;1,861428571;7,622142857;7,690520833;9,938333333;8,848333333;17,445;8,473571429;9,663809524
